jurisdiction,resident_entities,resident_entity_pct,resident_parent_groups,unique_observed_intermediaries,unique_intermediary_pct,observed_entity_origin_edges,cross_border_child_edges,destination_jurisdictions,target_paths_below,pooled_target_path_pct,equal_parent_target_path_pct,loo_min_target_path_pct,loo_max_target_path_pct,parents_affected,target_paths_below_per_resident,level0_gateways,mean_gateway_descendants,median_gateway_descendants
GUINEA REPUBLIC,1,0.05464480874,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,
IRAQ,1,0.05464480874,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,
JAMAICA,1,0.05464480874,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,
JORDAN,1,0.05464480874,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,
LIBYA,1,0.05464480874,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,
LITHUANIA,1,0.05464480874,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,
NICARAGUA,1,0.05464480874,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,
PANAMA,1,0.05464480874,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,
PARAGUAY,1,0.05464480874,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,
REPUBLIC OF MACEDONIA,1,0.05464480874,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,
SUDAN,1,0.05464480874,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,
